Battery List,,,,,,,,,,,,,,,
"Data has not changed since January 11, 2024",,,,,,,,,,,,,,,
"This list contains an extensive amount of equipment information. If you require any assistance, please reach out to us at SolarEquipment@energy.ca.gov or 916-654-4120.",,,,,,,,,,,,,,,
Battery List Notes,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
"(1) This information references the 2022 Building Energy Efficiency Standards' Reference Joint Appendix 12. This appendix outlines requirements for energy storage systems to qualify for battery storage compliance credit. For more information, contact the Title 24 Hotline at (916) 654-5106 or Title24@energy.ca.gov.",,,,,,,,,,,,,,,
(2) Maximum continuous discharge rate as stated by the manufacturer on the spec sheet.,,,,,,,,,,,,,,,
Guidelines for California's Solar Electric Incentive Programs (Senate Bill 1),,,,,,,,,,,,,,,
Blue colored text indicates that the model number occurs multiple times on the list under different manufacturer names.,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
Manufacturer Name,Brand1,Model Number,Technology,Description,UL 1973 Certification,,,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2,Manufacturer Declared Roundtrip Efficiency,Certified JA12 Control  Strategies1,Declaration for JA12 Submitted1,Notes,CEC Listing Date,Last Update
Iron Edison Battery Company LLC,,IE51100RV4,Lithium Iron Phosphate,"5 kW, 5.12 kWh Lithium Iron Phosphate Battery",UL,31/10/2022,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,11/04/2023,
"Jinko Solar Co., Ltd","Jinko Solar Co., Ltd",JKR-B1950-A-US,Lithium Iron Phosphate,"17.28 kW, 19.2 kWh, lithium-ion battery",CSA Group,01/09/2023,Ed. 3 : 2022,19.2,17.28,"89 [JKS-R-7P12-US]
89 [JKS-R-11P12-US]","JKS-R-7P12-US - Basic, TOU, Advance DR
JKS-R-11P12-US - Basic, TOU, Advance DR",Y,,21/12/2023,02/01/2024
"KORE Power, Inc.",,KORE-M1-ESR15008,Lithium-Ion,"52 kW, 52.08 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,52.08,52,No Information Submitted,No Information Submitted,N,,01/12/2023,
"KORE Power, Inc.",,KORE-M1-ESR15009,Lithium-Ion,"58.5 kW, 58.59 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,58.59,58.5,No Information Submitted,No Information Submitted,N,,01/12/2023,
"KORE Power, Inc.",,KORE-M1-ESR150010,Lithium-Ion,"65 kW, 65.1 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,65.1,65,No Information Submitted,No Information Submitted,N,,01/12/2023,
"KORE Power, Inc.",,KORE-M1-ESR150011,Lithium-Ion,"71.5 kW, 71.61 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,71.61,71.5,No Information Submitted,No Information Submitted,N,,01/12/2023,
"KORE Power, Inc.",,KORE-M1-ESR150012,Lithium-Ion,"78 kW, 78.12 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,78.12,78,No Information Submitted,No Information Submitted,N,,01/12/2023,
"KORE Power, Inc.",,KORE-M1-ESR150013,Lithium-Ion,"84.5 kW, 84.63 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,84.63,84.5,No Information Submitted,No Information Submitted,N,,01/12/2023,
"KORE Power, Inc.",,KORE-M1-ESR150014,Lithium-Ion,"91 kW, 91.14 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,91.14,91,No Information Submitted,No Information Submitted,N,,01/12/2023,
"KORE Power, Inc.",,KORE-M1-ESR150015,Lithium-Ion,"97.5 kW, 97.65 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,97.65,97.5,No Information Submitted,No Information Submitted,N,,01/12/2023,
"KORE Power, Inc.",,KORE-M1-ESR150016,Lithium-Ion,"104 kW, 104.16 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,104.16,104,No Information Submitted,No Information Submitted,N,,01/12/2023,
"KORE Power, Inc.",,KORE-M1-ESR150017,Lithium-Ion,"110 kW, 110.7 kWh, lithium ion battery",CSA Group,11/12/2022,Ed. 2 : 2018,110.7,110,No Information Submitted,No Information Submitted,N,,13/02/2023,01/12/2023
"KORE Power, Inc.",,P1-R34SM5P10S-A,Lithium-Ion,"260 kW, 335 kWh lithium ion battery",SGS,18/05/2023,Ed. 3 : 2022,335,260,No Information Submitted,No Information Submitted,N,,01/11/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,R5000-SS,Lithium-Iron Phosphate,"4.8 kW, 4.8 kWh Lithium-Iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,R5000-SSW,Lithium-Iron Phosphate,"4.8 kW, 4.8 kWh lithium-iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4001-SS,Lithium-Iron Phosphate,"4.8 kW, 4.8 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4001-SSW,Lithium-Iron Phosphate,"4.8 kW, 4.8 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,W5000-SS,Lithium-Iron Phosphate,"4.8 kW, 4.8 kWh lithium-iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,W5000-SSW,Lithium-Iron Phosphate,"4.8 kW, 4.8 kWh lithium-iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,R5000-ST,Lithium-Iron Phosphate,"5 kW, 5.12 kWh lithium-iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,R5000-STW,Lithium-Iron Phosphate,"5 kW, 5.12 kWh lithium-iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4001-ST,Lithium-Iron Phosphate,"5 kW, 5.12 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4001-STW,Lithium-Iron Phosphate,"5 kW, 5.12 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,W5000-ST,Lithium-Iron Phosphate,"5 kW, 5.12 kWh lithium-iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,W5000-STW,Lithium-Iron Phosphate,"5 kW, 5.12 kWh lithium-iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4002-SS,Lithium-Iron Phosphate,"9.6 kW, 9.6 kWh Lithium-Iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,9.6,9.6,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4002-SSW,Lithium-Iron Phosphate,"9.6 kW, 9.6 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,9.6,9.6,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4002-ST,Lithium-Iron Phosphate,"10 kW, 10.24 kWh Lithium-Iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,10.24,10,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4002-STW,Lithium-Iron Phosphate,"10 kW, 10.24 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,10.24,10,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4003-SS,Lithium-Iron Phosphate,"14.4 kW, 14.4 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,14.4,14.4,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4003-SSW,Lithium-Iron Phosphate,"14.4 kW, 14.4 kWh Lithium-Iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,14.4,14.4,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4003-ST,Lithium-Iron Phosphate,"15 kW, 15.36 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,15.36,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4003-STW,Lithium-Iron Phosphate,"15 kW, 15.36Wh Lithium-Iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,15.36,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4004-SS,Lithium-Iron Phosphate,"15 kW, 19.2 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,19.2,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4004-SSW,Lithium-Iron Phosphate,"15 kW, 19.2 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,19.2,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4004-ST,Lithium-Iron Phosphate,"15 kW, 20.48 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,20.48,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4004-STW,Lithium-Iron Phosphate,"15 kW, 20.48 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,20.48,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4005-SS,Lithium-Iron Phosphate,"15 kW, 24 kWh Lithium-Iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,24,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4005-SSW,Lithium-Iron Phosphate,"15 kW, 24 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,24,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4005-ST,Lithium-Iron Phosphate,"15 kW, 25.6 kWh Lithium-Iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,25.6,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4005-STW,Lithium-Iron Phosphate,"15 kW, 25.6 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,25.6,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4006-SS,Lithium-Iron Phosphate,"15 kW, 28.8 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,28.8,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4006-SSW,Lithium-Iron Phosphate,"15 kW, 28.8 kWh Lithium-Iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,28.8,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4006-ST,Lithium-Iron Phosphate,"15 kW, 30.72 kWh lithium-iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,30.72,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"Kowint Energy (ShenZhen) Co.,Ltd",,S4006-STW,Lithium-Iron Phosphate,"15 kW, 30.72 kWh Lithium-Iron battery",TUV Rheinland of North America,30/06/2023,Ed. 3 : 2022,30.72,15,No Information Submitted,No Information Submitted,N,,02/10/2023,
"LG Energy Solution, Ltd.",,RESU 10H Prime,Lithium-Ion,"5 kW, 9.6 kWh lithium ion battery system",TUV Rheinland of North America,09/03/2021,Ed. 2 : 2018,9.6,5,No Information Submitted,No Information Submitted,N,,01/04/2021,
"LG Energy Solution, Ltd.",,RESU 16H Prime,Lithium-Ion,"7 kW, 16 kWh lithium ion battery pack",TUV Rheinland of North America,17/12/2020,Ed. 2 : 2018,16,,No Information Submitted,No Information Submitted,N,,12/04/2021,
"LG Energy Solution, Ltd.",,SR22F617F_G16D1,Lithium-Ion,"110 kW, 110 kWh lithium ion battery system",TUV Rheinland,02/12/2021,Ed. 2 : 2018,110.908,110.908,No Information Submitted,No Information Submitted,N,,22/08/2022,
Liniotech,,LNT051200A-B-GBP2,Lithium-Ion,"5.12 kW, 10.24 kWh, lithium ion battery",Intertek,27/04/2023,Ed. 2 : 2018,10.24,5.12,No Information Submitted,No Information Submitted,N,,01/08/2023,
Lithion Battery Inc.,,CP1-LFP05120-1A01,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh lithium iron battery",CSA Group,07/02/2023,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,01/05/2023,
Lithion Battery Inc.,,PF5-LFP09600-2A01,Lithium Iron Phosphate,"8.6 kW, 9.6 kWh lithium iron battery",CSA Group,07/02/2023,Ed. 2 : 2018,9.6,8.6,No Information Submitted,No Information Submitted,N,"Formerly Stored Energy Inc, PF5-LFP09600-2A01",01/05/2023,11/05/2023
Lithion Battery Inc.,,PF5-LFP14400-2A01,Lithium Iron Phosphate,"12.9 kW, 14.4 kWh lithium iron battery",CSA Group,07/02/2023,Ed. 2 : 2018,14.4,12.9,No Information Submitted,No Information Submitted,N,"Formerly Stored Energy Inc, PF5-LFP14400-2A01",01/05/2023,11/05/2023
Lithion Battery Inc.,,PF5-LFP19200-2A01,Lithium Iron Phosphate,"14.4 kW, 19.2 kWh lithium iron battery",CSA Group,07/02/2023,Ed. 2 : 2018,19.2,14.4,No Information Submitted,No Information Submitted,N,"Formerly Stored Energy Inc, PF5-LFP19200-2A01",01/05/2023,11/05/2023
Lithion Battery Inc.,,PF5-LFP24000-2A01,Lithium Iron Phosphate,"14.4 kW, 24 kWh lithium iron battery",CSA Group,07/02/2023,Ed. 2 : 2018,24,14.4,No Information Submitted,No Information Submitted,N,"Formerly Stored Energy Inc, PF5-LFP24000-2A01",01/05/2023,11/05/2023
Lithion Battery Inc.,,PF5-LFP28800-2A01,Lithium Iron Phosphate,"14.4 kW, 28.8 kWh lithium iron battery",CSA Group,07/02/2023,Ed. 2 : 2018,28.8,14.4,No Information Submitted,No Information Submitted,N,"Formerly Stored Energy Inc, PF5-LFP28800-2A01",01/05/2023,11/05/2023
Lithion Battery Inc.,,PF5-LFP33600-2A01,Lithium Iron Phosphate,"14.4 kW, 33.6 kWh lithium iron battery",CSA Group,07/02/2023,Ed. 2 : 2018,33.6,14.4,No Information Submitted,No Information Submitted,N,"Formerly Stored Energy Inc, PF5-LFP33600-2A01",01/05/2023,11/05/2023
Lithion Battery Inc.,,PF5-LFP38400-2A01,Lithium Iron Phosphate,"14.4 kW, 38.4 kWh lithium iron battery",CSA Group,07/02/2023,Ed. 2 : 2018,38.4,14.4,No Information Submitted,No Information Submitted,N,"Formerly Stored Energy Inc, PF5-LFP38400-2A01",01/05/2023,11/05/2023
"Oxford Intelligent Energy Co., Ltd.",,eTank-10.2K/LV,Lithium Iron Phosphate,"6.14 kW, 10.24 kWh lithium iron phosphate battery",TUV Rheinland of North America,10/11/2023,Ed. 3 : 2022,10.24,6.14,No Information Submitted,No Information Submitted,N,,11/01/2024,
PANASONIC CORPORATION OF NORTH AMERICA,,EV-X10,Lithium Iron Phosphate,"5.5 kW, 10 kWh, lithium iron battery system",CSA Group,17/03/2023,Ed. 2 : 2018,10,5.5,No Information Submitted,No Information Submitted,N,,23/10/2023,
PANASONIC CORPORATION OF NORTH AMERICA,,EV-X15,Lithium Iron Phosphate,"8.3 kW, 15 kWh, lithium iron battery system",CSA Group,17/03/2023,Ed. 2 : 2018,15,8.3,No Information Submitted,No Information Submitted,N,,23/10/2023,
PANASONIC CORPORATION OF NORTH AMERICA,,EV-X20,Lithium Iron Phosphate,"11.1 kW, 20 kWh, lithium iron battery system",CSA Group,17/03/2023,Ed. 2 : 2018,20,11.1,No Information Submitted,No Information Submitted,N,,23/10/2023,
PHASEGREEN TECHNOLOGY INC,,PhG-ESS-5L-S,Lithium Iron Phosphate,"5 kW, 5 kWh, lithium iron phosphate battery",CSA Group,14/10/2022,Ed. 2 : 2018,5,5,No Information Submitted,No Information Submitted,N,,01/05/2023,
PHASEGREEN TECHNOLOGY INC,,PhG-ESS-10L-S,Lithium Iron Phosphate,"9 kW, 10 kWh, lithium iron phosphate battery",CSA Group,14/10/2022,Ed. 2 : 2018,10,9,No Information Submitted,No Information Submitted,N,,01/05/2023,
PHASEGREEN TECHNOLOGY INC,,PhG-ESS-15L-S,Lithium Iron Phosphate,"10 kW, 15 kWh, lithium iron phosphate battery",CSA Group,14/10/2022,Ed. 2 : 2018,15,10,No Information Submitted,No Information Submitted,N,,01/05/2023,
PHASEGREEN TECHNOLOGY INC,,PhG-ESS-20L-S,Lithium Iron Phosphate,"10 kW, 20 kWh, lithium iron phosphate battery",CSA Group,14/10/2022,Ed. 2 : 2018,20,10,No Information Submitted,No Information Submitted,N,,01/05/2023,
Polarium Inc.,,810-00046,Lithium-Ion,"6 kW, 4.74 kWh lithium ion (NMC) battery",TUV SUD,30/12/2021,Ed. 2 : 2018,4.74,6,No Information Submitted,No Information Submitted,N,,13/06/2022,
Polarium Inc.,,810-00061,Lithium-Ion,"6 kW, 4.74 kWh lithium ion (NMC) battery",TUV SUD,25/02/2022,Ed. 2 : 2018,4.74,6,No Information Submitted,No Information Submitted,N,,13/06/2022,
Polarium Inc.,,810-00164,Lithium-Ion,"6 kW, 8.55 kWh lithium ion (NMC) battery",TUV SUD,16/02/2022,Ed. 2 : 2018,8.55,6,No Information Submitted,No Information Submitted,N,,21/04/2022,
Polarium Inc.,,SLB48-200-228-1U,Lithium-Ion,"6 kW, 9.67 kWh lithium ion (NMC) battery",TUV SUD,06/04/2021,Ed. 2 : 2018,9.67,6,No Information Submitted,No Information Submitted,N,,01/10/2021,
Power Center,,DURA 5,Lithium Iron Phosphate,"4.096 kW, 5.12 kWh Lithium Ion (LFP) Battery",TUV Rheinland of North America,25/08/2023,Ed. 3 : 2022,5.12,4.096,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,US3000C,Lithium Iron Phosphate,"1.77 kW, 3.55 kWh, lithium iron phosphate battery",CSA Group,29/04/2022,Ed. 2 : 2018,3.55,1.8,No Information Submitted,No Information Submitted,N,,11/05/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/32V-L10,Lithium Iron Phosphate,"4.74 kW, 4.74 kWh, lithium iron phosphate battery, with 1 battery module.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,4.74,4.74,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,US5000,Lithium Iron Phosphate,"4.8 kW, 4.8 kWh, lithium iron phosphate battery",CSA Group,13/01/2022,Ed. 2 : 2018,4.8,4.8,No Information Submitted,No Information Submitted,N,,11/05/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Pelio-L-5.12,Lithium Iron Phosphate,"4.096 kW, 5.12 kWh, lithium iron phosphate battery",TUV Rheinland of North America,25/11/2022,Ed. 3 : 2022,5.12,4.096,No Information Submitted,No Information Submitted,N,,11/05/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/38.4V-L10,Lithium Iron Phosphate,"5.68 kW, 5.68 kWh, lithium iron phosphate battery, with 1 battery module.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,5.68,5.68,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/38.4V-L15,Lithium Iron Phosphate,"5.68 kW, 5.68 kWh, lithium iron phosphate battery, with 1 battery module.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,5.68,5.68,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/38.4V-E10,Lithium Iron Phosphate,"2.84 kW, 5.68 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,5.683,2.8415,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/38.4V-E15,Lithium Iron Phosphate,"2.84 kW, 5.68 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,5.683,2.8415,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Force-H1-48/96V,Lithium Iron Phosphate,"3.55 kW, 7.1 kWh, lithium iron phosphate battery, with 2 battery modules.",TUV Rheinland of North America,10/03/2020,Ed. 2 : 2018,7.1,3.55,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/64V-L10,Lithium Iron Phosphate,"9.47 kW, 9.47 kWh, lithium iron phosphate battery, with 2 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,9.47,9.47,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Force-H1-48/144V,Lithium Iron Phosphate,"5.33 kW, 10.66 kWh, lithium iron phosphate battery, with 3 battery modules.",TUV Rheinland of North America,10/03/2020,Ed. 2 : 2018,10.66,5.33,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/76.8V-E10,Lithium Iron Phosphate,"5.68 kW, 11.36 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,11.366,5.683,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/76.8V-E15,Lithium Iron Phosphate,"5.68 kW, 11.36 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,11.366,5.683,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/76.8V-L10,Lithium Iron Phosphate,"11.37 kW, 11.37 kWh, lithium iron phosphate battery, with 2 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,11.37,11.37,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/76.8V-L15,Lithium Iron Phosphate,"11.37 kW, 11.37 kWh, lithium iron phosphate battery, with 2 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,11.37,11.37,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Force-H1-48/192V,Lithium Iron Phosphate,"7.1 kW, 14.21 kWh, lithium iron phosphate battery, with 4 battery modules.",TUV Rheinland of North America,10/03/2020,Ed. 2 : 2018,14.21,7.1,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/96V-L10,Lithium Iron Phosphate,"14.21 kW, 14.21 kWh, lithium iron phosphate battery, with 3 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,14.21,14.21,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/64V-E15,Lithium Iron Phosphate,"7.84 kW, 15.68 kWh, lithium iron phosphate battery, with 1 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,15.68,7.84,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/64V-L15,Lithium Iron Phosphate,"7.84 kW, 15.68 kWh, lithium iron phosphate battery, with 1 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,15.68,7.84,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/115.2V-E10,Lithium Iron Phosphate,"8.52 kW, 17.04 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,17.049,8.5245,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/115.2V-E15,Lithium Iron Phosphate,"8.52 kW, 17.04 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,17.049,8.5245,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/115.2V-L10,Lithium Iron Phosphate,"17.05 kW, 17.05 kWh, lithium iron phosphate battery, with 3 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,17.05,17.05,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/115.2V-L15,Lithium Iron Phosphate,"17.05 kW, 17.05 kWh, lithium iron phosphate battery, with 3 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,17.05,17.05,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Force-H1-48/240V,Lithium Iron Phosphate,"8.88 kW, 17.76 kWh, lithium iron phosphate battery, with 5 battery modules.",TUV Rheinland of North America,10/03/2020,Ed. 2 : 2018,17.76,8.88,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M1-C-32/128V-L10,Lithium Iron Phosphate,"18.94 kW, 18.94 kWh, lithium iron phosphate battery, with 4 battery modules.",TUV Rheinland of North America,24/12/2021,Ed. 2 : 2018,18.94,18.94,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Force-H1-48/288V,Lithium Iron Phosphate,"10.66 kW, 21.31 kWh, lithium iron phosphate battery, with 6 battery modules.",TUV Rheinland of North America,10/03/2020,Ed. 2 : 2018,21.31,10.66,No Information Submitted,No Information Submitted,N,,21/07/2023,
